nombre;abono;distrito;modalidad;mes;anio;fecha;alumno;edad;pago;menor_cantidad;adolescentes_cantidad;adultos_cantidad;all;nombre_sede;count_sede1;count_sede2;count_sede3;taller
Kathy;200;Comas;Escolar;Abril;2022;5/04/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Miraflores;Escolar;Abril;2022;5/04/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Comas;Escolar;Abril;2022;5/04/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Miraflores;Escolar;Abril;2022;5/04/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Comas;Escolar;Mayo;2022;3/05/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Miraflores;Escolar;Mayo;2022;3/05/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Comas;Escolar;Mayo;2022;3/05/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Miraflores;Escolar;Mayo;2022;3/05/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Comas;Escolar;Junio;2022;7/06/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Miraflores;Escolar;Junio;2022;7/06/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Comas;Escolar;Junio;2022;7/06/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Miraflores;Escolar;Junio;2022;7/06/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Surco;Escolar;Julio;2022;5/07/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Molina;Escolar;Julio;2022;5/07/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Villa el Salvador;Escolar;Julio;2022;5/07/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Surco;Escolar;Julio;2022;5/07/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Surco;Escolar;Agosto;2022;2/08/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Molina;Escolar;Agosto;2022;2/08/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Villa el Salvador;Escolar;Agosto;2022;2/08/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Surco;Escolar;Agosto;2022;2/08/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Surco;Escolar;Setiembre;2022;1/09/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Molina;Escolar;Setiembre;2022;1/09/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Villa el Salvador;Escolar;Setiembre;2022;1/09/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Surco;Escolar;Setiembre;2022;1/09/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Surco;Escolar;Octubre;2022;4/10/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Molina;Escolar;Octubre;2022;4/10/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Villa el Salvador;Escolar;Octubre;2022;4/10/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Surco;Escolar;Octubre;2022;4/10/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Surco;Escolar;Noviembre;2022;1/11/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Molina;Escolar;Noviembre;2022;1/11/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Villa el Salvador;Escolar;Noviembre;2022;1/11/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Surco;Escolar;Noviembre;2022;1/11/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Surco;Escolar;Diciembre;2022;3/12/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Molina;Escolar;Diciembre;2022;3/12/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Kathy;200;Villa el Salvador;Escolar;Diciembre;2022;3/12/2022;Terri;45;Yape;0;0;1;1;Sede 2;0;1;0;Pintura
Whitney;200;Surco;Escolar;Diciembre;2022;3/12/2022;Cody;45;Scotiabank;0;0;1;1;Sede 3;0;0;1;Comic
Gina;200;Surco;Escolar;Abril;2022;5/04/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Surco;Escolar;Abril;2022;5/04/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Surco;Escolar;Mayo;2022;3/05/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Surco;Escolar;Mayo;2022;3/05/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Surco;Escolar;Junio;2022;7/06/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
Gina;200;Surco;Escolar;Junio;2022;7/06/2022;William;36;BCP;0;0;1;1;Sede 1;1;0;0;Manga
